;accumulated_distance;accumulated_euclidian_distance;cell_paths_average_directness;center_of_mass_displacement_CoM-X;center_of_mass_displacement_CoM-Y;forward_migration_index_X;forward_migration_index_Y;mean_cell_speed;stdev_cell_velocity
122;12350.040623705;4428.95463865645;0.26544456126956;-2.65311177840104;1.59517312533147;0.00482071599961147;0.0128305409081307;5.74998066386895;5.3310272150731
129;10251.7839982504;3094.71761703274;0.155872232;-12.1279926154672;-1.04423060649779;-0.0446003048163796;-0.0498261287056674;4.5224008231404;4.5424114463683
164;13517.20499;5769.912712;0.301489841;-0.434402041;-1.666288425;-0.016176644;-0.0113733;7.598732833;5.593531315
805;12280.24217;1664.76552;0.162839985;-3.804281275;-1.737003026;-0.004341207;-0.006803623;5.177491352;3.620619675
858;11201.73215;4262.34248;0.277826695;-11.10431512;-10.61501849;-0.048096515;-0.071218231;7.542140123;6.643716711
859;15669.13735;3338.514059;0.170058066;-12.85298701;-1.56634591;-0.072348327;-0.026379379;4.35693957;3.433342349
714;3495.384571;697.0598308;0.106466859;1.747487954;0.917431176;0.015185504;-0.005921017;2.713353666;6.091610992
722;13762.25477;9639.196527;0.14708317;-16.83616592;2.47967186;-0.099285021;-0.079853003;6.84826437;4.749428011
751;11459.37264;3690.993898;0.171592249;-7.677154133;-16.20982691;-0.064864314;-0.082447066;4.546862732;3.486752866
