;accumulated_distance;accumulated_euclidian_distance;cell_paths_average_directness;center_of_mass_displacement_CoM-X;center_of_mass_displacement_CoM-Y;forward_migration_index_X;forward_migration_index_Y;mean_cell_speed;stdev_cell_velocity
122;17642.0233;20836.03283;0.245765256;-5.030796306;7.343756594;0.013069838;0.013829502;17.03788522;6.411660796
129;14510.32964;17741.45416;0.210165808;-1.415247261;-2.391806017;0.032748457;-0.012711554;15.63070226;7.10732005
164;16994.18454;17348.21925;0.261478355;-1.323944263;1.141790858;0.021204473;0.062854692;14.54638133;5.790299374
805;10873.22243;12448.41741;0.157755962;-3.773151182;-0.697171081;-0.0071277;-0.00672145;11.62409851;5.106685137
858;15959.69761;13260.33929;0.391346466;13.94495387;-1.841189463;0.069575972;-0.0252304;12.12669632;4.093141851
859;25768.95393;19394.1335;0.302333207;-23.86837472;-26.05201256;-0.085239437;-0.120895427;12.20855392;4.06084952
714;7675.753772;5604.664565;0.295654588;-2.958605801;2.036785003;0.011339622;0.015845209;8.774425457;5.426824445
722;4749.354276;4902.506483;0.126473455;1.778750353;-5.252083061;0.018354346;-0.079853003;7.661868478;5.227029578
751;9736.906284;6134.959872;0.399695335;2.587626393;-34.75260659;0.109026905;-0.194764471;7.14314692;9.078712135
